0,South Central Family Health Center,"4425 S Central Ave,Los Angeles,CA 90011",0,0.34,3239084200,https://www.scfhc.org/,90011
1,Universal Community Health Center,"2801 S San Pedro St,Los Angeles,CA 90011",0,0.87,3232333100,https://www.uchcla.org,90011
2,Universal Community Health Center,"4527 E Cesar E Chavez Ave,Los Angeles,CA 90022",0,0.87,3232333100,https://www.uchcla.org,90022
3,Universal Community Health Center,"2098 S Central Ave,Los Angeles,CA 90011",0,1.07,3232333100,https://www.uchcla.org,90011
4,Universal Community Health Center,"1005 E Washington Blvd Ste A,Los Angeles,CA 90021",0,1.29,3232333100,https://www.uchcla.org,90021
5,Universal Community Health Center,"1005 E Washington Blvd Ste A,Los Angeles,CA 90011",0,1.29,3232333100,https://www.uchcla.org,90011
6,Universal Community Health Center,"1021 W Marting Luther King Jr Blvd,Los Angeles,CA 90037",0,1.29,3232333100,https://www.uchcla.org,90037
7,Los Angeles County Health Services,"2829 S Grand Ave,Los Angeles,CA 90007",0,1.48,2136997000,https://dhs.lacounty.gov/hudson/,90007
8,Planned Parenthood Los Angeles,"400 W 30th St,Los Angeles,CA 90007",0,1.49,8005765544,https://www.plannedparenthood.org/health-center/california/los-angeles/90007/s-mark-taper-foundation-center-for-medical-training-3862-90070,90007
9,Central City Community Health Center,"5970 S Central Ave,Los Angeles,CA 90001",0,1.54,3232343280,https://centralcityhealth.org/locations/south-los-angeles,90001
10,Los Angeles County Health Services,"5850 S Main St,Los Angeles,CA 90003",0,1.60,3238976000,https://dhs.lacounty.gov/humphrey,90003
11,St Johns Community Health,"326 W 23rd St,Los Angeles,CA 90007",0,1.67,3235411411,https://sjch.org/,90007
12,Realistic Education in Action Coalition to Foster Health,"1400 E Olympic Blvd Ste 240,Los Angeles,CA 90021",0,1.82,2136221650,https://www.reachla.info/,90021
13,St Johns Community Health,"4085 S Vermont Ave,Los Angeles,CA 90037",0,1.92,3235411631,https://sjch.org/,90037
14,St Johns Community Health,"1555 W 110th St,Los Angeles,CA 90047",0,1.92,3237572771,https://sjch.org/,90047
15,St Johns Community Health,"1321 E 1st St,Los Angeles,CA 90033",0,1.92,3235411411,https://sjch.org/,90033
16,Northeast Community Clinics,"1414 S Grand Ave Ste 200,Los Angeles,CA 90015",0,2.02,2137439000,https://necccare.com/,90015
17,AIDS Healthcare Foundation,"1400 S Grand Ave Ste 801,Los Angeles,CA 90015",0,2.04,2137419727,https://hivcare.org,90015
18,St Johns Community Health,"5701 S Hoover St,Los Angeles,CA 90037",0,2.08,3235411616,https://sjch.org/,90037
19,St Johns Community Health,"808 W 58th St,Los Angeles,CA 90037",0,2.11,3235411411,https://www.wellchild.org,90037
20,St Johns Community Health,"6818 Avalon Blvd,Los Angeles US,CA 90003",0,2.12,3235411411,https://www.wellchild.org,90003
21,St Johns Community Health,"1060 Exposition Blvd,Los Angeles US,CA 90007",0,2.16,3235411411,https://sjch.org/,90007
22,Planned Parenthood Los Angeles,"2550 E Slauson Ave,Huntington Park,CA 90255",0,2.24,8005765544,https://www.plannedparenthood.org/health-center/california/huntington-park/90255/huntington-park-health-center-3831-90070,90255
23,Elite Medical Clinic,"2214 S Hoover St,Los Angeles,CA 90007",0,2.41,2136223100,https://elitemedicalclinic.net,90007
24,Optum,"1120 W Washington Blvd,Los Angeles,CA 90015",0,2.51,2136232225,https://www.optum.com/care/facilities/ca/los-angeles/1120-w-washington-blvd-optum-medical-group-dmc62493846-1120wwashingtonblvd.html,90015
25,JWCH Institute,"522 S San Pedro St,Los Angeles,CA 90013",0,2.59,8667335924,http://jwchinstitute.org/,90013
26,Keck Medicine of USC,"830 S Flower St,Los Angeles,CA 90017",0,2.67,3234425100,https://www.keckmedicine.org/locations/los-angeles/830-s-flower-st,90017
27,Downtown Womens Center,"442 S San Pedro St,Los Angeles,CA 90013",0,2.68,2136800600,https://www.downtownwomenscenter.org,90013
28,St Johns Community Health,"1910 S Magnolia Ave Ste 101,Los Angeles,CA 90007",0,2.70,2137490947,https://sjch.org/,90007
29,Los Angeles Christian Health Centers,"325 E 7th St,Los Angeles,CA 90014",0,2.72,2138931960,https://www.lachc.com/,90014
30,UMMA Florence Clinic,"711 W Florence Ave,Los Angeles,CA 90044",0,2.80,3237895610,https://www.ummaclinic.org/,90044
31,UMMA Community Clinic,"7821 Avalon Blvd,Los Angeles US,CA 90003",0,2.83,3237895610,http://www.ummaclinic.org,90003
32,Los Angeles Centers for Alcohol and Drug Abuse,"470 E 3rd St Ste A,and B Los Angeles,CA 90013",0,2.84,2136266411,https://www.lacada.com/,90013
33,South Central Family Health Center,"7300 Santa Fe Ave,Huntington Park US,CA 90255",0,2.87,3239084200,https://www.scfhc.org/,90255
34,The Wall Las Memorias Project,"800 W 6th St Ste 750,Los Angeles,CA 90017",0,2.91,3232571056,http://www.thewalllasmemorias.org,90017
35,Los Angeles LGBT Center,"553 S Clarence St,Los Angeles,CA 90033",0,2.94,3238607332,https://lalgbtcenter.org,90033
36,To Help Everyone Clinic Incorporated,"3834 S Western Ave,Los Angeles,CA 90062",0,2.95,3237301920,https://www.tohelpeveryone.org,90062
37,Los Angeles County Department of Public Health,"3834 S Western Ave,Los Angeles,CA 90062",0,2.95,3237303507,http://publichealth.lacounty.gov/chs/SPA6/index.htm,90062
38,South Central Family Health Center,"2680 Saturn Ave,Huntington Park US,CA 90255",0,2.95,3239084200,https://www.scfhc.org/huntington-park,90255
39,AltaMed Medical Group,"1305 S Concord St Ste 18,Los Angeles,CA 90023",0,2.99,8884999303,https://www.altamed.org,90023
40,Northeast Community Clinics,"2975 Zoe Ave,Huntington Park US,CA 90255",0,3.11,3238269449,https://necccare.com/,90255
41,Los Angeles Christian Health Centers,"1625 E 4th St,Los Angeles,CA 90033",0,3.20,2138931960,https://www.lachc.com/,90033
42,Northeast Community Clinics,"2822 Florence Ave,Huntington Park US,CA 90255",0,3.27,3239231900,https://necccare.com/,90255
43,Fatima Medical Clinic,"820A S Alvarado St,Los Angeles,CA 90057",0,3.38,2133840604,,90057
44,Planned Parenthood Los Angeles,"8520 S Broadway,Los Angeles US,CA 90003",0,3.44,8005765544,https://www.plannedparenthood.org/health-center/california/los-angeles/90003/dorothy-hecht-health-center-2465-90070,90003
45,Bienestar,"130 W Manchester Ave,Los Angeles,CA 90003",0,3.46,8665906411,http://www.bienestar.org,90003
46,Los Angeles LGBT Center,"2313 W MLK Jr Blvd,,CA 90008",0,3.49,3238603799,https://lalgbtcenter.org,90008
47,Mens Health Foundation,"8601 S Broadway,Los Angeles US,CA 90003",0,3.52,3239055675,https://www.menshealthfound.org/socalclub,90003
48,Los Angeles County Department of Public Health,"241 N Figueroa St,Los Angeles,CA 90012",0,3.58,2132408204,http://publichealth.lacounty.gov/chs/spa4/index.htm,90012
49,AIDS Healthcare Foundation,"2146 W Adams Blvd,Los Angeles,CA 90018",0,3.59,3237662170,https://hivcare.org,90018
50,LAC HUBERT H HUMPHREY,"5850 S Main St,Los Angeles,California 90003-1215",0,1.61,3238976000,,90003-1215
